city,district,full_address,register_date,register_type,raw_data
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號七樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號七樓|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號七樓之１,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號七樓之１|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號九樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號九樓|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號九樓之１,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號九樓之１|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號二樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號二樓|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號二樓之１,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號二樓之１|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號八樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號八樓|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號八樓之１,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號八樓之１|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十一樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十一樓|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十一樓之１,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十一樓之１|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十二樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十二樓|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十二樓之１,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十二樓之１|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十三樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十三樓|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十三樓之１,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十三樓之１|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十樓|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十樓之１,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號十樓之１|民國114年11月7日|門牌初編
臺北市,大安區,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號三樓,民國114年11月7日,門牌初編,臺北市大安區民炤里013鄰新生南路一段１５７巷２０號三樓|民國114年11月7日|門牌初編
