city,district,full_address,register_date,register_type,raw_data
臺北市,中正區,臺北市中正區新營里008鄰愛國東路７４巷２之１號,民國114年9月24日,門牌初編,臺北市中正區新營里008鄰愛國東路７４巷２之１號|民國114年9月24日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６３號,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６３號|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６５號,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６５號|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６７號,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６７號|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之１,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之１|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之１０,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之１０|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之１１,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之１１|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之１２,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之１２|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之２,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之２|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之３,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之３|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之５,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之５|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之６,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之６|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之７,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之７|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之８,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之８|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之９,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號七樓之９|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之１,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之１|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之１０,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之１０|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之１１,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之１１|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之１２,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之１２|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之２,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之２|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之３,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之３|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之５,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之５|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之６,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之６|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之７,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之７|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之８,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之８|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之９,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號九樓之９|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號二樓,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號二樓|民國114年9月16日|門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段１６９號二樓之１,民國114年9月16日,門牌初編,臺北市中正區板溪里003鄰南昌路二段１６９號二樓之１|民國114年9月16日|門牌初編
